category,subject,commission_cc_pct,commission_dbs_pct,commission_edbs_pct,commission_fbs_pct,commission_fbw_pct,commission_booking_pct
Электрика,Энергосберегатели,38.5,45.0,3.0,35.0,30.5,38.5
Продукты,Мясо сушеное,4.5,4.5,3.0,35.0,30.5,4.5
Сантехника,Шкафы для ванной комнаты,37.5,45.0,3.0,32.0,27.5,37.5
Продукты,Тушки кальмаров,4.5,4.5,3.0,25.0,20.5,4.5
Товары для животных,Воск для лап,31.5,35.0,3.0,35.0,30.5,31.5
Продукты,Кэроб,4.5,4.5,3.0,35.0,30.5,4.5
Спортивный товар,Аксессуары для газовых ламп,37.5,45.0,3.0,41.0,36.5,37.5
Спортивные аксессуары,Мази лыжные,39.5,45.0,3.0,38.5,34.0,39.5
Товары для взрослых,Трусы для страпона,39.5,45.0,3.0,43.0,38.5,39.5
Здоровье,Держатели медицинские,42.5,45.0,3.0,39.0,34.5,42.5
Посуда и инвентарь,Спреи для цитрусовых,39.5,45.0,3.0,39.0,34.5,39.5
Здоровье,Индикаторы зубного налета,42.5,45.0,3.0,41.0,36.5,42.5
Автозапчасти,Бачки тормозной жидкости,36.5,45.0,3.0,40.0,35.5,36.5
Спортивный товар,Ролики,37.5,45.0,3.0,37.0,32.5,37.5
Техника для красоты и здоровья,Картриджи для бритв,35.5,35.0,3.0,33.0,28.5,35.5
Все для садоводства,Мох стабилизированный,39.5,45.0,3.0,39.5,38.5,39.5
Автоаксессуары и дополнительное оборудование,Лебедки автомобильные,36.5,45.0,3.0,36.0,31.5,36.5
Ручной инструмент и оснастка,Ограждения лестничные,41.5,45.0,3.0,41.0,36.5,41.5
Хранение вещей,Газетницы,36.5,45.0,3.0,40.0,35.5,36.5
Фото и Видеотехника,Фотопленки,38.5,45.0,3.0,32.0,27.5,38.5
Электрика,Электрика,42.5,45.0,3.0,40.0,35.5,42.5
Автохимия и автокосметика,Абразивные и технические пасты,36.5,45.0,3.0,36.0,31.5,36.5
Игрушки,Железные дороги,38.5,45.0,3.0,38.0,33.5,38.5
Спортивный товар,Багажники,37.5,45.0,3.0,41.0,36.5,37.5
Садовая техника,Щетки для подметальных машин,38.5,45.0,3.0,32.0,27.5,38.5
Автоаксессуары и дополнительное оборудование,Манометры,36.5,45.0,3.0,40.0,35.5,36.5
Автозапчасти,Ремни безопасности,36.5,45.0,3.0,40.0,35.5,36.5
Товары для взрослых,Вагинальные тренажеры,39.5,45.0,3.0,43.0,38.5,39.5
Здоровье,Гели акушерские,42.5,45.0,3.0,29.5,25.0,42.5
Ручной инструмент и оснастка,Рулетки,41.5,45.0,3.0,39.5,35.0,41.5
Посуда и инвентарь,Приборы для удаления косточек,39.5,45.0,3.0,34.0,29.5,39.5
Автоаксессуары и дополнительное оборудование,Козырьки для авто,36.5,45.0,3.0,36.0,31.5,36.5
Товары для животных,Обереги для животных,31.5,35.0,3.0,26.0,21.5,31.5
Товары для животных,Другие приспособления для крупно-рогатого скота,31.5,35.0,3.0,31.0,26.5,31.5
Профессиональные музыкальные инструменты,Подставки для музыканта,38.5,45.0,3.0,36.0,31.5,38.5
Аксессуары для электроники,Радиосинхронизаторы,42.5,45.0,3.0,35.0,30.5,42.5
Спортивные аксессуары,Магниты для велокомпьютеров,39.5,45.0,3.0,39.0,34.5,39.5
Ручной инструмент и оснастка,Отвертки,41.5,45.0,3.0,43.0,38.5,41.5
Восстановленные,Брак,16.5,25.0,3.0,21.5,21.5,16.5
Ручной инструмент и оснастка,Патроны токарные,41.5,45.0,3.0,45.0,40.5,41.5
Сантехника,Комплекты мебели для ванной,37.5,45.0,3.0,37.0,32.5,37.5
Аксессуары для электроники,Умные очки,42.5,45.0,3.0,37.0,32.5,42.5
Отделочные материалы,Фотообои,38.5,45.0,3.0,42.0,37.5,38.5
Канцелярские товары,Листы для коллекционирования,39.5,45.0,3.0,39.0,34.5,39.5
Для праздника,Фонари новогодние,42.5,45.0,3.0,42.0,37.5,42.5
Для праздника,Гирлянды интерьерные,42.5,45.0,3.0,46.0,41.5,42.5
Аксессуары для электроники,Шапки с гарнитурой,42.5,45.0,3.0,41.0,36.5,42.5
Садовые инструменты и полив,Опрыскиватели,29.5,35.0,3.0,25.0,20.5,29.5
Товары для малышей,Подушки для кормления,36.5,45.0,3.0,36.0,31.5,36.5
Автозапчасти,Вкладыши картера двигателя,36.5,45.0,3.0,31.0,26.5,36.5
Одежда,Толстовки,44.5,45.0,3.0,45.0,40.5,44.5
Красота,DD-кремы,42.5,45.0,3.0,46.0,41.5,42.5
Ручной инструмент и оснастка,Пылесборники строительные,41.5,45.0,3.0,41.0,36.5,41.5
Товары для взрослых,Средства с феромонами,39.5,45.0,3.0,43.0,38.5,39.5
Мебель садовая,Столы плетеные,36.5,45.0,3.0,39.5,31.0,36.5
Красота,Таблетки для ирригаторов,42.5,45.0,3.0,46.0,41.5,42.5
Строительные материалы,Проволоки вязальные,38.5,45.0,3.0,38.0,33.5,38.5
Телевизоры и аудиотехника,Конвертеры спутниковые,39.5,45.0,3.0,37.0,32.5,39.5
Автозапчасти,Фрикционные диски,36.5,45.0,3.0,30.0,25.5,36.5
Аксессуары для волос,Ободки,44.5,45.0,3.0,48.0,43.5,44.5
Красота,Селективный парфюм,42.5,45.0,3.0,46.0,41.5,42.5
Красота,Палитры для лаков,42.5,45.0,3.0,35.0,30.5,42.5
Аксессуары для волос,Заколки клик-клак,44.5,45.0,3.0,43.0,38.5,44.5
Спортивный товар,Компрессы спортивные,37.5,45.0,3.0,37.0,32.5,37.5
Автоаксессуары и дополнительное оборудование,Подстаканники электрические,36.5,45.0,3.0,40.0,35.5,36.5
Одежда для малышей,Кигуруми для малышей,44.5,45.0,3.0,48.0,43.5,44.5
Спортивные аксессуары,Темляки для скандинавских палок,39.5,45.0,3.0,39.0,34.5,39.5
Садовые инструменты и полив,Детские садовые инструменты,39.5,45.0,3.0,43.0,38.5,39.5
Техника для красоты и здоровья,Сменные ручки для ирригаторов,35.5,35.0,3.0,33.0,28.5,35.5
Мебель корпусная и мебель для хранения,Доски гладильные встроенные,36.5,45.0,3.0,40.0,35.5,36.5
Автозапчасти,Валы приводные,36.5,45.0,3.0,40.0,35.5,36.5
Автохимия и автокосметика,Очистители карбюратора,36.5,45.0,3.0,40.0,35.5,36.5
Одежда,Капри,44.5,45.0,3.0,48.0,43.5,44.5
Рукоделие,Формы для мыла,39.5,45.0,3.0,39.0,34.5,39.5
